Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 375 | +0.02163838047461644210 | +0.63383770355181823231 |
| 376 | -0.02156637019179196216 | +0.61227133336002625974 |
| 377 | +0.02149467567246943558 | +0.63376600903249569186 |
| 378 | -0.02142329495776599743 | +0.61234271407472973259 |
| 379 | +0.02135222610582026420 | +0.63369494018054994822 |
| 380 | -0.02128146719159779501 | +0.61241347298895210116 |
| 381 | +0.02121101630669929364 | +0.63362448929565140521 |
| 382 | -0.02114087155917153057 | +0.61248361773647985729 |
| 383 | +0.02107103107332092273 | +0.63355464880980072451 |
| 384 | -0.02100149298952972907 | +0.61255315582027103360 |
| 385 | +0.02093225546407481361 | +0.63348541128434587844 |
| 386 | -0.02086331666894894812 | +0.61262209461539696154 |
| 387 | +0.02079467479168460239 | +0.63341676940708158128 |
| 388 | -0.02072632803518018388 | +0.61269044137190142862 |
| 389 | +0.02065827461752867480 | +0.63334871598943009996 |
| 390 | -0.02059051277184863540 | +0.61275820321758145415 |
| 391 | +0.02052304074611755944 | +0.63328124396369900317 |
| 392 | -0.02045585680300749179 | +0.61282538716069145934 |
| 393 | +0.02038895921972291858 | +0.63321434638041440568 |
| 394 | -0.02032234628784086033 | +0.61289200009257349677 |
| 395 | +0.02025601631315315093 | +0.63314801640572659913 |
| 396 | -0.02018996761551086760 | +0.61295804879021575928 |
| 397 | +0.02012419852867085648 | +0.63308224731888662618 |
| 398 | -0.02005870740014435716 | +0.61302353991874225514 |
| 399 | +0.01999349259104764298 | +0.63301703250978991200 |
| 400 | -0.01992855247595468754 | +0.61308848003383520364 |
| 401 | +0.01986388544275181564 | +0.63295236547658706439 |
| 402 | -0.01979948989249427985 | +0.61315287558409281576 |
| 403 | +0.01973536423926477643 | +0.63288823982335762341 |
| 404 | -0.01967150691003382093 | +0.61321673291332379208 |
| 405 | +0.01960791634452199728 | +0.63282464925784576160 |
| 406 | -0.01954459099506403175 | +0.61328005826278175761 |
| 407 | +0.01948152932647465724 | +0.63276158758925638015 |
| 408 | -0.01941872981591625039 | +0.61334285777334007772 |
| 409 | +0.01935619095276819648 | +0.63269904872610827073 |
| 410 | -0.01929391123849799258 | +0.61340513748761027468 |
